Date,Open,High,Low,Close,Adj Close,Volume,SMA50,SMA200,EMA12,EMA26,EMA50,EMA200,MACDLine,MACDSignal,MACDHist,VOL_EMA50,VOL_EMA200,VOL_CHGPCT,SMA20,middleBand,upperBand,lowerBand,RSI,EMA5,EMA20,OBV,OBV_EMA5,OBV_EMA20
2019-06-24,35.83452224731445,36.06990051269531,35.58488082885742,35.777462005615234,30.668245315551758,7206981,35.3356632232666,33.54268891334534,35.687366212786145,35.487291740400266,35.320099610703636,34.013721719300904,0.20007447238587872,0.15669150348207792,0.043382968903800806,6900144.6876501525,7575708.9882633975,-8.917505960958337,35.364835548400876,35.364835548400876,36.61962413821633,34.11004695858542,53.93203363325691,35.81248517574821,35.55152889306025,279829243.0,276982869.4677564,271110628.79307896
2019-06-25,35.67760467529297,35.73466491699219,34.950069427490234,34.97860336303711,29.98346710205078,7929712,35.32624809265137,33.55937935829163,35.578325774363215,35.44961111985485,35.306707600991224,34.023322531676385,0.1287146545083644,0.1510961336873352,-0.02238147917897082,6940519.876369754,7579231.406290627,-8.427127972247344,35.374108123779294,35.374108123779294,36.613758487690184,34.134457759868404,36.35862065023353,35.53452457151118,35.496964556867574,271899531.0,275288423.3118376,271185762.33659524
2019-06-26,34.85021209716797,34.94293975830078,34.06562042236328,34.08702087402344,29.219209671020508,8680062,35.29201133728027,33.572646131515505,35.348894251234015,35.348678509052526,35.25887674895327,34.02395634602809,0.00021574218148856517,0.12092005538616589,-0.12070431320467732,7008737.214551332,7590184.944536491,-7.66052124202444,35.35770320892334,35.35770320892334,36.657989268147645,34.057417149699035,25.611644545086833,35.052023339015264,35.36268420612051,263219469.0,271265438.5412251,270427067.73310995
2019-06-27,34.222537994384766,34.2867317199707,33.794578552246094,33.92296600341797,29.078575134277344,8728992,35.26861618041992,33.58313115119934,35.129520674646926,35.24307017530182,35.20648809226561,34.02295146699714,-0.11354950065489078,0.07402614417795456,-0.18757564483284533,7076198.186529712,7601516.358023691,-6.910702375052917,35.34058475494385,35.34058475494385,36.70867024912708,33.972499260760614,24.09927354587651,34.67567089381617,35.22556818681551,254490477.0,265673784.69415006,268909297.18709946
2019-06-28,33.944366455078125,34.27960205078125,33.88017272949219,34.194007873535156,29.3109188079834,9433217,35.25506408691406,33.5964692401886,34.98559562832204,35.16536185665244,35.16678298564872,34.02465352079354,-0.17976622833040068,0.023267669676283513,-0.2030338980066842,7168630.29686188,7619742.235058282,-5.920304444431783,35.335591888427736,35.335591888427736,36.72038853085409,33.950795246001384,31.7788151295165,34.5151165537225,35.12732434745547,263923694.0,265090421.1294334,268434477.83594713
2019-07-01,34.21540832519531,34.33666229248047,33.88017272949219,34.27246856689453,29.378173828125,6164594,35.235805892944335,33.61048493385315,34.875883772717806,35.09922161296667,35.13171183197209,34.027119342147785,-0.22333784024886683,-0.02605343230874656,-0.19728440794012025,7129256.324435924,7605263.148142279,-6.25891326091232,35.31883010864258,35.31883010864258,36.74812399240771,33.889536224877446,34.0089844589105,34.43423389144651,35.04590951121157,270088288.0,266756376.75295562,268591983.56585693
2019-07-02,34.35092544555664,34.8359489440918,34.32239532470703,34.82881546020508,29.855073928833008,10241750,35.22653343200684,33.62614113807678,34.86864249386969,35.079191527576924,35.11983354288319,34.035096417949354,-0.2105490337072311,-0.06295255258844347,-0.14759648111878765,7251314.899948241,7631496.848160764,-4.981748086604387,35.32310962677002,35.32310962677002,36.74564344624055,33.90057580729949,47.93446899107408,34.565761081032704,35.025233887306186,280330038.0,271280930.5019704,269709893.5119658
2019-07-03,34.864479064941406,35.099857330322266,34.74322509765625,34.97146987915039,29.977344512939453,4992242,35.21640502929687,33.64379448890686,34.88446209160519,35.071212146212,35.11401535999171,34.04441356681703,-0.1867500546068115,-0.08771205299211708,-0.09903800161469441,7162723.805832624,7605235.605890508,-5.818515335871295,35.29850196838379,35.29850196838379,36.727812252891965,33.86919168387561,50.994048860154486,34.70099734707193,35.02011350557706,285322280.0,275961380.33464694,271196787.4632071
2019-07-05,34.73609161376953,35.135520935058594,34.3723258972168,35.09272384643555,30.08129119873047,6425927,35.203994140625,33.660663242340085,34.91650236157909,35.07280560548782,35.11318039867579,34.05484451487293,-0.15630324390873085,-0.10143029117543984,-0.054872952733291014,7133829.813447032,7593501.191901548,-6.053483983709046,35.26176872253418,35.26176872253418,36.67147524228193,33.85206220278643,53.66449619147825,34.83157284685981,35.02702877613501,291748207.0,281223655.88976467,273154065.51433027
2019-07-08,35.05706024169922,35.135520935058594,34.65049743652344,34.78601837158203,29.81838035583496,9466024,35.180884246826174,33.67696138381958,34.89642790157954,35.05156210667999,35.100350515260345,34.06211987663123,-0.1551342051004454,-0.11217107396044096,-0.04296313114000444,7225288.408998129,7612133.259643821,-5.081950584031065,35.21968593597412,35.21968593597412,36.63364466922026,33.80572720272798,46.300780909251465,34.81638802176722,35.004075404272825,282282183.0,281576498.2598431,274023410.036775
