Date,Open,High,Low,Close,Adj Close,Volume
2020-01-03,227.55999755859375,229.8300018310547,227.0,228.61000061035156,207.32113647460938,1598900
2020-01-06,228.47999572753906,230.0,227.88999938964844,228.5500030517578,207.2667236328125,1526800
2020-01-07,227.1300048828125,227.57000732421875,221.6199951171875,223.67999267578125,202.85025024414062,1463800
2020-01-08,223.47999572753906,226.49000549316406,222.52000427246094,225.6199951171875,204.6095733642578,1433900
2020-01-09,225.5,227.13999938964844,225.36000061035156,226.47000122070312,205.38046264648438,1376700
2020-01-10,228.08999633789062,231.02000427246094,227.44000244140625,230.8000030517578,209.30723571777344,1578900
2020-01-13,231.25,235.4199981689453,231.14999389648438,235.41000366210938,213.48793029785156,1840600
2020-01-14,235.1300048828125,235.94000244140625,232.83999633789062,233.9499969482422,212.1638641357422,1217100
2020-01-15,234.5,236.74000549316406,234.5,235.3800048828125,213.46070861816406,1152100
2020-01-16,235.0,235.14999389648438,231.94000244140625,232.24000549316406,210.61312866210938,1782900
2020-01-17,232.88999938964844,234.41000366210938,232.58999633789062,233.4199981689453,211.68321228027344,2352900
2020-01-21,233.9199981689453,237.9199981689453,233.0,236.72999572753906,214.68496704101562,1827100
2020-01-22,237.91000366210938,238.1699981689453,234.25999450683594,235.16000366210938,213.2611846923828,1294000
2020-01-23,235.16000366210938,238.49000549316406,235.00999450683594,237.8300018310547,215.6825714111328,1485400
2020-01-24,238.0,239.99000549316406,236.72000122070312,237.52000427246094,215.40142822265625,1284800
2020-01-27,236.32000732421875,238.16000366210938,235.67999267578125,237.47000122070312,215.35609436035156,1197200
2020-01-28,237.11000061035156,237.6699981689453,236.3300018310547,237.17999267578125,215.09310913085938,1051800
2020-01-29,237.42999267578125,237.86000061035156,232.86000061035156,233.44000244140625,211.70135498046875,1434400
2020-01-30,232.4199981689453,235.25999450683594,231.30999755859375,235.1999969482422,213.29745483398438,1271400
2020-01-31,234.36000061035156,234.94000244140625,230.85000610351562,231.74000549316406,210.15968322753906,1700900
2020-02-03,232.97999572753906,235.0399932861328,232.11000061035156,234.07000732421875,212.27268981933594,1560200
