Date,Open,High,Low,Close,Adj Close,Volume
2021-04-30,33988.75,33988.75,33784.9609375,33874.8515625,33874.8515625,374890000
2021-05-03,33904.890625,34221.05859375,33904.890625,34113.23046875,34113.23046875,289770000
2021-05-04,34080.19921875,34147.78125,33765.6796875,34133.03125,34133.03125,407860000
2021-05-05,34163.98828125,34331.19921875,34039.66015625,34230.33984375,34230.33984375,253180000
2021-05-06,34245.109375,34561.2890625,34185.05859375,34548.53125,34548.53125,315430000
2021-05-07,34578.26953125,34811.390625,34464.30859375,34777.76171875,34777.76171875,303400000
2021-05-10,34785.26953125,35091.55859375,34741.5703125,34742.8203125,34742.8203125,361620000
2021-05-11,34572.73828125,34572.73828125,34075.30859375,34269.16015625,34269.16015625,413180000
2021-05-12,34206.3984375,34207.87109375,33555.21875,33587.66015625,33587.66015625,381350000
2021-05-13,33624.73828125,34181.76953125,33623.48828125,34021.44921875,34021.44921875,350820000
2021-05-14,34050.859375,34454.05078125,34050.859375,34382.12890625,34382.12890625,303230000
2021-05-17,34375.2890625,34383.83984375,34176.6484375,34327.7890625,34327.7890625,291910000
2021-05-18,34351.1796875,34408.98828125,34044.1015625,34060.66015625,34060.66015625,289590000
2021-05-19,33945.80859375,33945.80859375,33473.80078125,33896.0390625,33896.0390625,348480000
2021-05-20,33906.30078125,34233.3984375,33872.41015625,34084.1484375,34084.1484375,320150000
2021-05-21,34121.91015625,34415.48046875,34121.91015625,34207.83984375,34207.83984375,306360000
2021-05-24,34253.87109375,34472.51171875,34253.87109375,34393.98046875,34393.98046875,251010000
2021-05-25,34428.66015625,34511.3515625,34266.03125,34312.4609375,34312.4609375,285760000
2021-05-26,34336.33984375,34409.58984375,34271.44140625,34323.05078125,34323.05078125,258780000
2021-05-27,34432.46875,34608.8203125,34389.23828125,34464.640625,34464.640625,520630000
2021-05-28,34558.5,34631.109375,34520.08984375,34529.44921875,34529.44921875,290850000
2021-06-01,34584.19140625,34849.3203125,34542.87109375,34575.30859375,34575.30859375,287700000
2021-06-02,34614.62109375,34706.6484375,34545.9609375,34600.37890625,34600.37890625,263810000
2021-06-03,34550.30859375,34667.41015625,34334.41015625,34577.0390625,34577.0390625,297380000
2021-06-04,34618.69140625,34772.12109375,34618.69140625,34756.390625,34756.390625,270050000
2021-06-07,34766.19921875,34820.91015625,34574.51171875,34630.23828125,34630.23828125,259120000
2021-06-08,34645.83984375,34665.37890625,34452.94140625,34599.8203125,34599.8203125,289440000
2021-06-09,34626.16015625,34654.671875,34439.37109375,34447.140625,34447.140625,245100000
2021-06-10,34502.51171875,34737.7890625,34447.25,34466.23828125,34466.23828125,309310000
2021-06-11,34499.80859375,34618.08984375,34328.6484375,34479.6015625,34479.6015625,260840000
2021-06-14,34472.51953125,34472.51953125,34211.5390625,34393.75,34393.75,295530000
2021-06-15,34397.1015625,34420.37890625,34199.16015625,34299.328125,34299.328125,272430000
2021-06-16,34308.48046875,34333.25,33917.109375,34033.671875,34033.671875,347150000
2021-06-17,34014.37890625,34091.7890625,33626.609375,33823.44921875,33823.44921875,354690000
2021-06-18,33622.69921875,33622.69921875,33271.9296875,33290.078125,33290.078125,563920000
2021-06-21,33312.0703125,33908.08984375,33312.0703125,33876.96875,33876.96875,317260000
2021-06-22,33872.55859375,34040.69921875,33751.05859375,33945.578125,33945.578125,284130000
