date,Cash,Qty,PurchasePrice,CurrentPrice,CurrentEquityTotal,PortfolioTotal,PercentageChange
2020-12-01,0.0,48.249938821451146,233.3699951171875,252.27000427246094,12172.01227263346,12172.01227263346,21.720122726334594
2020-12-02,0.0,48.249938821451146,233.3699951171875,249.66000366210938,12046.079902860047,12046.079902860047,20.46079902860047
2020-12-03,0.0,48.249938821451146,233.3699951171875,249.92999267578125,12059.106856252178,12059.106856252178,20.591068562521777
2020-12-04,0.0,48.249938821451146,233.3699951171875,253.44000244140625,12228.46461270628,12228.46461270628,22.284646127062807
2020-12-07,0.0,48.249938821451146,233.3699951171875,249.3000030517578,12028.709895434898,12028.709895434898,20.287098954348984
2020-12-08,0.0,48.249938821451146,233.3699951171875,249.86000061035156,12055.72974337721,12055.72974337721,20.557297433772092
2020-12-09,12068.274462425956,0,0,246.77000427246094,0,12068.274462425956,20.68274462425956
2020-12-10,12068.274462425956,0.0,0,246.16000366210938,0.0,12068.274462425956,20.68274462425956
2020-12-11,12068.274462425956,0.0,0,245.8300018310547,0.0,12068.274462425956,20.68274462425956
2020-12-14,12068.274462425956,0.0,0,243.75,0.0,12068.274462425956,20.68274462425956
2020-12-15,12068.274462425956,0.0,0,247.0500030517578,0.0,12068.274462425956,20.68274462425956
2020-12-16,12068.274462425956,0.0,0,247.4499969482422,0.0,12068.274462425956,20.68274462425956
2020-12-17,12068.274462425956,0.0,0,264.4700012207031,0.0,12068.274462425956,20.68274462425956
2020-12-18,0.0,45.73221339391597,263.8900146484375,266.25,12176.201816130128,12176.201816130128,21.762018161301274
2020-12-21,0.0,45.73221339391597,263.8900146484375,261.4200134277344,11955.315839517527,11955.315839517527,19.55315839517527
2020-12-22,0.0,45.73221339391597,263.8900146484375,259.4700012207031,11866.137465144833,11866.137465144833,18.66137465144833
2020-12-23,0.0,45.73221339391597,263.8900146484375,257.44000244140625,11773.301127780638,11773.301127780638,17.733011277806384
2020-12-24,0.0,45.73221339391597,263.8900146484375,257.29998779296875,11766.897948000022,11766.897948000022,17.668979480000218
2020-12-28,0.0,45.73221339391597,263.8900146484375,259.67999267578125,11875.740839179365,11875.740839179365,18.75740839179365
2020-12-29,0.0,45.73221339391597,263.8900146484375,257.760009765625,11787.935771019427,11787.935771019427,17.87935771019427
2020-12-30,0.0,45.73221339391597,263.8900146484375,257.5400085449219,11777.87462824731,11777.87462824731,17.778746282473094
2020-12-31,11780.618449400034,0,0,261.2099914550781,0,11780.618449400034,17.806184494000334
2021-01-04,11780.618449400034,0.0,0,256.4599914550781,0.0,11780.618449400034,17.806184494000334
2021-01-05,11780.618449400034,0.0,0,257.9200134277344,0.0,11780.618449400034,17.806184494000334
2021-01-06,11780.618449400034,0.0,0,260.739990234375,0.0,11780.618449400034,17.806184494000334
2021-01-07,11780.618449400034,0.0,0,263.20001220703125,0.0,11780.618449400034,17.806184494000334
2021-01-08,11780.618449400034,0.0,0,264.1600036621094,0.0,11780.618449400034,17.806184494000334
2021-01-11,11780.618449400034,0.0,0,260.3500061035156,0.0,11780.618449400034,17.806184494000334
2021-01-12,11780.618449400034,0.0,0,258.3999938964844,0.0,11780.618449400034,17.806184494000334
2021-01-13,11780.618449400034,0.0,0,257.0799865722656,0.0,11780.618449400034,17.806184494000334
2021-01-14,11780.618449400034,0.0,0,255.0,0.0,11780.618449400034,17.806184494000334
2021-01-15,11780.618449400034,0.0,0,253.64999389648438,0.0,11780.618449400034,17.806184494000334
2021-01-19,11780.618449400034,0.0,0,255.83999633789062,0.0,11780.618449400034,17.806184494000334
2021-01-20,11780.618449400034,0.0,0,261.6700134277344,0.0,11780.618449400034,17.806184494000334
2021-01-21,11780.618449400034,0.0,0,257.94000244140625,0.0,11780.618449400034,17.806184494000334
2021-01-22,11780.618449400034,0.0,0,254.77000427246094,0.0,11780.618449400034,17.806184494000334
2021-01-25,11780.618449400034,0.0,0,252.0399932861328,0.0,11780.618449400034,17.806184494000334
2021-01-26,11780.618449400034,0.0,0,252.99000549316406,0.0,11780.618449400034,17.806184494000334
2021-01-27,11780.618449400034,0.0,0,246.10000610351562,0.0,11780.618449400034,17.806184494000334
2021-01-28,11780.618449400034,0.0,0,249.33999633789062,0.0,11780.618449400034,17.806184494000334
2021-01-29,11780.618449400034,0.0,0,241.9199981689453,0.0,11780.618449400034,17.806184494000334
2021-02-01,11780.618449400034,0.0,0,247.57000732421875,0.0,11780.618449400034,17.806184494000334
2021-02-02,11780.618449400034,0.0,0,248.75,0.0,11780.618449400034,17.806184494000334
2021-02-03,11780.618449400034,0.0,0,248.3699951171875,0.0,11780.618449400034,17.806184494000334
2021-02-04,11780.618449400034,0.0,0,253.00999450683594,0.0,11780.618449400034,17.806184494000334
2021-02-05,11780.618449400034,0.0,0,253.5399932861328,0.0,11780.618449400034,17.806184494000334
2021-02-08,11780.618449400034,0.0,0,257.30999755859375,0.0,11780.618449400034,17.806184494000334
2021-02-09,0.0,45.96238368231003,256.30999755859375,257.67999267578125,11843.586690619097,11843.586690619097,18.435866906190967
2021-02-10,0.0,45.96238368231003,256.3099975585937,256.94000244140625,11809.57497554559,11809.57497554559,18.09574975545591
2021-02-11,0.0,45.96238368231003,256.3099975585937,258.9700012207031,11902.878558314254,11902.878558314254,19.028785583142543
2021-02-12,0.0,45.96238368231003,256.3099975585937,257.4700012207031,11833.93498279079,11833.93498279079,18.3393498279079
2021-02-16,0.0,45.96238368231003,256.3099975585937,257.04998779296875,11814.63016447354,11814.63016447354,18.146301644735395
2021-02-17,0.0,45.96238368231003,256.3099975585937,258.7799987792969,11894.145593201765,11894.145593201765,18.941455932017654
2021-02-18,0.0,45.96238368231003,256.3099975585937,257.6300048828125,11841.289132499236,11841.289132499236,18.412891324992362
2021-02-19,0.0,45.96238368231003,256.3099975585937,254.2899932861328,11687.774237989279,11687.774237989279,16.877742379892787
2021-02-22,0.0,45.96238368231003,256.3099975585937,252.6300048828125,11611.477214087685,11611.477214087685,16.11477214087685
2021-02-23,0.0,45.96238368231003,256.3099975585937,256.19000244140625,11775.103187783858,11775.103187783858,17.751031877838578
2021-02-24,0.0,45.96238368231003,256.3099975585937,259.2699890136719,11916.666712354694,11916.666712354694,19.16666712354694
2021-02-25,0.0,45.96238368231003,256.3099975585937,253.77999877929688,11664.333674790214,11664.333674790214,16.64333674790214
2021-02-26,0.0,45.96238368231003,256.3099975585937,250.89999389648438,11531.961785359461,11531.961785359461,15.319617853594607
2021-03-01,11674.445455306748,0,0,258.1600036621094,0,11674.445455306748,16.74445455306748
2021-03-02,11674.445455306748,0.0,0,259.2300109863281,0.0,11674.445455306748,16.74445455306748
2021-03-03,0.0,44.91899087907084,259.8999938964844,254.17999267578125,11417.508772645711,11417.508772645711,14.175087726457114
2021-03-04,11356.868546204609,0,0,247.0,0,11356.868546204609,13.568685462046087
2021-03-05,11356.868546204609,0.0,0,249.50999450683594,0.0,11356.868546204609,13.568685462046087
2021-03-08,11356.868546204609,0.0,0,249.38999938964844,0.0,11356.868546204609,13.568685462046087
2021-03-09,11356.868546204609,0.0,0,254.3699951171875,0.0,11356.868546204609,13.568685462046087
2021-03-10,11356.868546204609,0.0,0,257.1400146484375,0.0,11356.868546204609,13.568685462046087
2021-03-11,11356.868546204609,0.0,0,266.3699951171875,0.0,11356.868546204609,13.568685462046087
2021-03-12,0.0,42.85934061188705,264.9800109863281,264.95001220703125,11355.582818304783,11355.582818304783,13.555828183047833
2021-03-15,0.0,42.85934061188705,264.9800109863281,266.260009765625,11411.728449869293,11411.728449869293,14.117284498692934
2021-03-16,0.0,42.85934061188705,264.9800109863281,263.5199890136719,11294.292967177696,11294.292967177696,12.942929671776964
2021-03-17,0.0,42.85934061188705,264.9800109863281,264.2699890136719,11326.437472636611,11326.437472636611,13.264374726366112
2021-03-18,0.0,42.85934061188705,264.9800109863281,266.8900146484375,11438.730043728907,11438.730043728907,14.387300437289069
2021-03-19,0.0,42.85934061188705,264.9800109863281,263.7799987792969,11305.436814285034,11305.436814285034,13.054368142850345
2021-03-22,0.0,42.85934061188705,264.9800109863281,265.20001220703125,11366.297653457756,11366.297653457756,13.662976534577556
2021-03-23,0.0,42.85934061188705,264.9800109863281,266.0299987792969,11401.87033066178,11401.87033066178,14.018703306617809
2021-03-24,0.0,42.85934061188705,264.9800109863281,267.54998779296875,11467.01605752507,11467.01605752507,14.670160575250701
2021-03-25,0.0,42.85934061188705,264.9800109863281,268.6099853515625,11512.446853936608,11512.446853936608,15.124468539366081
2021-03-26,0.0,42.85934061188705,264.9800109863281,280.7699890136719,12033.616592732747,12033.616592732747,20.336165927327475
2021-03-29,0.0,42.85934061188705,264.9800109863281,279.5400085449219,11980.900440876623,11980.900440876623,19.80900440876623
2021-03-30,0.0,42.85934061188705,264.9800109863281,278.54998779296875,11938.468804255826,11938.468804255826,19.384688042558267
2021-03-31,0.0,42.85934061188705,264.9800109863281,276.25,11839.892844033797,11839.892844033797,18.398928440337965
2021-04-01,0.0,42.85934061188705,264.9800109863281,278.3399963378906,11929.468708957049,11929.468708957049,19.294687089570488
2021-04-05,0.0,42.85934061188705,264.9800109863281,281.1300048828125,12049.04663549393,12049.04663549393,20.490466354939308
2021-04-06,0.0,42.85934061188705,264.9800109863281,281.6300048828125,12070.476305799873,12070.476305799873,20.704763057998736
2021-04-07,0.0,42.85934061188705,264.9800109863281,282.57000732421875,12110.76419061211,12110.76419061211,21.107641906121096
2021-04-08,0.0,42.85934061188705,264.9800109863281,284.4200134277344,12190.054232336755,12190.054232336755,21.900542323367553
2021-04-09,0.0,42.85934061188705,264.9800109863281,287.7099914550781,12331.060521216306,12331.060521216306,23.310605212163065
2021-04-12,0.0,42.85934061188705,264.9800109863281,287.5400085449219,12323.77516577172,12323.77516577172,23.237751657717197
