Date,Ticker,Type,Qty,Price,Total
2020-01-06,AAPL,BUY,136.15166900369184,73.44750213623047,10000.0
2020-02-25,AAPL,SELL,136.15166900369184,75.23750305175781,10243.711612167184
2020-04-17,AAPL,BUY,143.92794301620063,71.17250061035156,10243.711612167184
2020-09-21,AAPL,SELL,143.92794301620063,104.54000091552734,15046.227294683582
2020-10-02,AAPL,BUY,133.28219838809974,112.88999938964844,15046.227294683582
2020-10-26,AAPL,SELL,133.28219838809974,114.01000213623047,15195.503722948744
2020-11-09,AAPL,BUY,126.10376533567423,120.5,15195.503722948744
2020-11-24,AAPL,SELL,126.10376533567424,113.91000366210938,14364.480371192434
2020-12-01,AAPL,BUY,118.70490139336755,121.01000213623047,14364.480371192434
2021-01-19,AAPL,SELL,118.70490139336756,127.77999877929688,15168.112155141063
2021-01-22,AAPL,BUY,111.30108813477142,136.27999877929688,15168.112155141063
2021-02-17,AAPL,SELL,111.30108813477142,131.25,14608.26781768875
2021-04-06,AAPL,BUY,115.48037800544466,126.5,14608.26781768875
2021-05-05,AAPL,SELL,115.48037800544466,129.1999969482422,14920.064485885305
2021-06-15,AAPL,BUY,114.82271975955364,129.94000244140625,14920.064485885305
2021-09-15,AAPL,SELL,114.82271975955364,148.55999755859375,17058.06296715038
2021-10-19,AAPL,BUY,116.03335558493055,147.00999450683594,17058.06296715038
2022-01-11,AAPL,SELL,116.03335558493056,172.32000732421875,19994.86868424891
2022-01-13,AAPL,BUY,113.74939596713594,175.77999877929688,19994.86868424891
2022-01-20,AAPL,SELL,113.74939596713594,166.97999572753906,18993.87365260251
2022-03-23,AAPL,BUY,113.06549813390784,167.99000549316406,18993.87365260251
2022-04-12,AAPL,SELL,113.06549813390784,168.02000427246094,18997.26547952712
2022-07-07,AAPL,BUY,132.57914976373732,143.2899932861328,18997.265479527116
2022-08-30,AAPL,SELL,132.57914976373732,162.1300048828125,21495.058198553863
2022-10-25,AAPL,BUY,143.21446280912048,150.08999633789062,21495.058198553867
2022-11-04,AAPL,SELL,143.21446280912048,142.08999633789062,20349.342496080902
2022-11-16,AAPL,BUY,136.4537103855899,149.1300048828125,20349.342496080902
2022-12-07,AAPL,SELL,136.4537103855899,142.19000244140625,19402.353412865967
2023-01-18,AAPL,BUY,141.80932885706346,136.82000732421875,19402.353412865967
2023-08-07,AAPL,SELL,141.80932885706346,182.1300048828125,25827.733757165333
2023-08-31,AAPL,BUY,137.49858528907683,187.83999633789062,25827.733757165333
2023-09-14,AAPL,SELL,137.49858528907683,174.0,23924.753840299367
2023-10-10,AAPL,BUY,134.33325671192722,178.10000610351562,23924.75384029937
2023-10-20,AAPL,SELL,134.33325671192722,175.30999755859375,23549.962906205907
2023-11-06,AAPL,BUY,133.51832551457622,176.3800048828125,23549.962906205903
2024-01-03,AAPL,SELL,133.51832551457622,184.22000122070312,24596.746089281467
