Date,Ticker,Type,Qty,Price,Total
2022-03-09,ABT,SELL,83.91972562805222,117.9000015258789,9894.135779598695
2022-03-10,ABT,BUY,84.43536229587873,117.18000030517578,9894.135779598697
2022-03-11,ABT,SELL,84.43536229587873,117.44000244140625,9916.08915416902
2022-03-17,ABT,BUY,83.32848028713462,119.0,9916.08915416902
2022-04-18,ABT,SELL,83.32848028713462,117.0199966430664,9751.098483472319
2022-04-21,ABT,BUY,79.16137732841521,123.18000030517578,9751.09848347232
2022-04-27,ABT,SELL,79.16137732841521,117.29000091552734,9284.838019324226
2022-05-18,ABT,BUY,81.8624419786531,113.41999816894531,9284.838019324226
2022-06-13,ABT,SELL,81.8624419786531,107.68000030517578,8814.9477772438
2022-06-28,ABT,BUY,80.68602084433685,109.25,8814.9477772438
2022-08-10,ABT,SELL,80.68602084433685,109.76000213623047,8856.097820238349
2022-08-11,ABT,BUY,79.89983862179986,110.83999633789062,8856.097820238349
2022-08-23,ABT,SELL,79.89983862179986,106.81999969482422,8534.900737197166
2022-09-09,ABT,BUY,79.66863582575944,107.12999725341797,8534.900737197166
2022-09-21,ABT,SELL,79.66863582575944,102.87000274658203,8195.512786212317
2022-10-05,ABT,BUY,80.21447521864938,102.16999816894531,8195.512786212317
2022-10-21,ABT,SELL,80.21447521864938,94.3499984741211,7568.235614481993
2022-11-01,ABT,BUY,75.97104402550983,99.62000274658203,7568.235614481993
2022-11-04,ABT,SELL,75.97104402550983,97.83000183105469,7432.247376122763
2022-11-07,ABT,BUY,75.24040765305693,98.77999877929688,7432.247376122763
2022-12-07,ABT,SELL,75.24040765305693,104.0199966430664,7826.5069514939305
2022-12-13,ABT,BUY,69.68043957228198,112.31999969482422,7826.50695149393
2022-12-20,ABT,SELL,69.68043957228198,106.61000061035156,7428.631705330547
2023-01-05,ABT,BUY,66.8643727034877,111.0999984741211,7428.631705330548
2023-01-19,ABT,SELL,66.8643727034877,111.05999755859375,7425.957069206247
2023-03-21,ABT,BUY,75.64385461662708,98.16999816894531,7425.957069206246
2023-05-09,ABT,SELL,75.64385461662708,110.12999725341797,8330.657501167088
2023-06-16,ABT,BUY,79.0085101315935,105.44000244140625,8330.657501167088
2023-07-13,ABT,SELL,79.0085101315935,106.69000244140625,8429.418138831581
2023-07-17,ABT,BUY,78.38402517266935,107.54000091552734,8429.418138831581
2023-07-18,ABT,SELL,78.38402517266935,106.80999755859375,8372.197537325565
2023-07-21,ABT,BUY,74.18872530375344,112.8499984741211,8372.197537325565
2023-08-03,ABT,SELL,74.18872530375344,107.70999908447266,7990.867534545477
2023-09-13,ABT,BUY,78.2881116727453,102.06999969482422,7990.867534545478
2023-09-22,ABT,SELL,78.2881116727453,98.9000015258789,7742.694363892689
2023-10-09,ABT,BUY,80.31007229321045,96.41000366210938,7742.694363892689
2023-10-12,ABT,SELL,80.31007229321045,92.25,7408.6041690486645
2023-10-19,ABT,BUY,76.74128960834798,96.54000091552734,7408.604169048664
2023-12-22,ABT,SELL,76.74128960834798,108.86000061035156,8354.056833603927
2023-12-29,ABT,BUY,75.67080360633554,110.4000015258789,8354.056833603927
2024-01-02,ABT,SELL,75.67080360633554,109.55999755859375,8290.493058366948
