date,Cash,Qty,PurchasePrice,CurrentPrice,CurrentEquityTotal,PortfolioTotal,PercentageChange
2021-03-16,0.0,77.99113814321586,117.0,118.22000122070312,9220.112446495006,9220.112446495006,-7.7988755350499375
2021-03-17,0.0,77.99113814321586,117.0,117.62000274658203,9173.317882614108,9173.317882614108,-8.266821173858917
2021-03-18,0.0,77.99113814321586,117.0,118.11000061035156,9211.533373697239,9211.533373697239,-7.884666263027612
2021-03-19,0.0,77.99113814321586,117.0,120.25,9378.434361721707,9378.434361721707,-6.215656382782927
2021-03-22,0.0,77.99113814321586,117.0,121.47000122070312,9473.583645460458,9473.583645460458,-5.264163545395422
2021-03-23,0.0,77.99113814321586,117.0,120.48999786376953,9397.152068269033,9397.152068269033,-6.028479317309666
2021-03-24,0.0,77.99113814321586,117.0,118.0199966430664,9204.513861851265,9204.513861851265,-7.954861381487353
2021-03-25,0.0,77.99113814321586,117.0,119.05000305175781,9284.845233959913,9284.845233959913,-7.151547660400865
2021-03-26,0.0,77.99113814321586,117.0,122.06999969482422,9520.378209341354,9520.378209341354,-4.796217906586462
2021-03-29,0.0,77.99113814321586,117.0,122.2300033569336,9532.857077056347,9532.857077056347,-4.671429229436526
2021-03-30,0.0,77.99113814321586,117.0,119.75,9339.4387926501,9339.4387926501,-6.605612073498997
2021-03-31,0.0,77.99113814321586,117.0,119.83999633789062,9346.457709470911,9346.457709470911,-6.535422905290888
2021-04-01,0.0,77.99113814321586,117.0,118.94000244140625,9276.266161162146,9276.266161162146,-7.237338388378539
2021-04-05,0.0,77.99113814321586,117.0,119.86000061035156,9348.017865447866,9348.017865447866,-6.519821345521342
2021-04-06,0.0,77.99113814321586,117.0,119.97000122070312,9356.596938245633,9356.596938245633,-6.434030617543667
2021-04-07,0.0,77.99113814321586,117.0,120.11000061035156,9367.51564998367,9367.51564998367,-6.324843500163296
2021-04-08,0.0,77.99113814321586,117.0,119.77999877929688,9341.77843159037,9341.77843159037,-6.5822156840963
2021-04-09,0.0,77.99113814321586,117.0,120.9000015258789,9429.12872051983,9429.12872051983,-5.708712794801704
2021-04-12,0.0,77.99113814321586,117.0,121.04000091552734,9440.047432257868,9440.047432257868,-5.599525677421316
2021-04-13,0.0,77.99113814321586,117.0,123.01000213623047,9593.690069604028,9593.690069604028,-4.063099303959716
2021-04-14,9557.81421746117,0,0,121.5,0,9557.81421746117,-4.421857825388306
